# BENCHMARK EQUILIBRIA: 25-Nov-24 21
2, 0, 1, 1,  0, 0.002001, 0.002002
2, 1, 1, 1,  0, 0.000999, 0.001002
2, 2, 1, 1,  0, 0.001001, 0.000995
2, 3, 1, 1,  1, 0.001002, 0.002996
2, 4, 1, 1,  1, 0.002003, 0.000994
2, 5, 1, 1,  0, 0.001006, 0.000996
2, 6, 1, 1,  0, 0.001001, 0.001001
2, 7, 1, 1,  0, 0.000991, 0.000992
2, 8, 1, 1,  0, 0.001004, 0.001001
2, 9, 1, 1,  1, 0.001999, 0.001005
3, 0, 2, 4,  0, 0.007001, 0.006001
3, 1, 1, 1,  1, 0.005991, 0.003000
3, 2, 2, 4,  0, 0.004998, 0.007002
3, 3, 1, 1,  0, 0.003006, 0.002989
3, 4, 1, 1,  2, 0.006021, 0.004986
3, 5, 1, 1,  1, 0.003001, 0.002997
3, 6, 1, 1,  1, 0.006020, 0.003980
3, 7, 1, 1,  1, 0.007998, 0.005997
3, 8, 1, 1,  1, 0.004983, 0.005999
3, 9, 1, 2,  1, 0.006001, 0.005998
4, 0, 1, 2,  2, 0.045003, 0.024003
4, 1, 1, 1,  1, 0.027030, 0.020977
4, 2, 1, 3,  3, 0.018998, 0.031004
4, 3, 2, 4,  2, 0.026997, 0.023989
4, 4, 1, 1,  0, 0.017045, 0.037954
4, 5, 1, 2,  3, 0.083901, 0.073999
4, 6, 1, 1,  5, 0.020999, 0.021003
4, 7, 1, 1,  0, 0.022005, 0.018994
4, 8, 1, 2,  3, 0.071000, 0.023000
4, 9, 1, 1,  3, 0.022998, 0.024998
5, 0, 1, 2,  9, 0.103998, 0.079006
5, 1, 1, 1,  3, 0.113543, 0.120914
5, 2, 2, 4,  5, 0.104995, 0.108003
5, 3, 2, 4,  2, 0.142960, 0.098001
5, 4, 1, 1,  2, 0.090999, 0.154999
5, 5, 2, 2,  4, 0.090001, 0.109989
5, 6, 1, 2,  3, 0.109999, 0.109999
5, 7, 1, 1,  2, 0.090999, 0.093007
5, 8, 1, 1,  4, 0.093995, 0.058010
5, 9, 2, 4,  5, 0.100008, 0.090998
6, 0, 1, 1,  0, 0.178999, 0.138979
6, 1, 2, 4,  6, 0.157001, 0.131999
6, 2, 1, 1,  5, 0.102999, 0.124997
6, 3, 2, 2,  9, 0.149003, 0.124998
6, 4, 1, 1,  4, 0.145002, 0.167017
6, 5, 1, 1,  8, 0.136999, 0.086999
6, 6, 1, 1,  3, 0.420999, 0.066997
6, 7, 1, 1,  4, 0.077039, 0.092000
6, 8, 1, 1,  8, 0.076000, 0.062000
6, 9, 2, 4,  7, 0.060979, 0.068018
7, 0, 2, 6,  7, 0.203973, 0.281006
7, 1, 2, 6,  7, 0.621003, 0.395999
7, 2, 2, 2,  10, 0.478077, 0.642000
7, 3, 1, 1,  6, 0.923919, 0.764606
7, 4, 1, 1,  8, 0.675001, 0.474000
7, 5, 1, 1,  6, 0.462998, 0.192003
7, 6, 1, 2,  2, 0.184037, 0.136962
7, 7, 1, 2,  6, 0.373004, 0.278998
7, 8, 1, 1,  8, 0.179999, 0.156000
7, 9, 1, 1,  8, 0.178000, 0.171999
8, 0, 2, 2,  9, 0.457561, 0.524003
8, 1, 1, 1,  8, 0.603996, 0.448037
8, 2, 1, 2,  8, 0.457017, 0.451022
8, 3, 2, 8,  2, 0.617963, 0.527038
8, 4, 1, 2,  4, 0.453002, 0.408962
8, 5, 1, 1,  6, 0.564002, 0.648998
8, 6, 2, 4,  7, 0.862999, 0.744987
8, 7, 2, 4,  7, 0.550959, 0.498007
8, 8, 1, 1,  7, 0.829996, 0.534035
8, 9, 1, 1,  3, 0.397042, 0.354959
9, 0, 2, 4,  12, 1.394004, 1.955998
9, 1, 1, 1,  9, 2.043108, 1.436002
9, 2, 1, 2,  11, 1.256996, 1.051035
9, 3, 2, 8,  10, 1.053961, 0.980999
9, 4, 1, 1,  9, 1.028002, 0.989999
9, 5, 1, 1,  12, 1.137962, 0.947999
9, 6, 2, 6,  7, 1.128964, 0.979996
9, 7, 1, 1,  3, 1.217002, 1.191001
9, 8, 2, 2,  10, 1.440007, 1.430033
9, 9, 1, 2,  7, 1.217964, 1.297001
10, 0, 1, 2,  7, 3.655536, 3.093034
10, 1, 2, 4,  8, 3.631972, 3.541379
10, 2, 1, 2,  13, 2.604999, 2.802000
10, 3, 3, 11,  6, 3.790396, 2.338623
10, 4, 1, 1,  12, 2.138961, 2.269268
10, 5, 1, 2,  7, 2.859031, 2.379003
10, 6, 1, 1,  11, 2.486963, 2.248772
10, 7, 1, 1,  11, 2.283557, 2.299999
10, 8, 1, 2,  3, 3.672963, 4.745298
10, 9, 1, 1,  10, 2.852006, 2.520004
11, 0, 1, 1,  14, 8.610979, 8.763042
11, 1, 2, 4,  5, 7.758057, 7.564309
11, 2, 1, 1,  10, 7.074942, 4.890957
11, 3, 2, 4,  10, 6.488898, 6.448000
11, 4, 1, 1,  11, 8.020576, 7.369193
11, 5, 1, 4,  9, 8.531020, 6.616483
11, 6, 1, 1,  10, 6.383037, 5.913968
11, 7, 2, 6,  13, 6.401008, 6.194955
11, 8, 1, 2,  15, 6.778956, 8.195906
11, 9, 1, 1,  4, 8.443799, 6.603074
12, 0, 2, 4,  9, 11.865552, 12.813039
12, 1, 1, 1,  5, 18.182343, 18.040322
12, 2, 1, 5,  14, 16.954520, 13.789963
12, 3, 2, 4,  7, 16.542884, 15.674039
12, 4, 1, 1,  11, 13.946998, 12.766963
12, 5, 1, 1,  11, 18.124987, 16.968684
12, 6, 1, 1,  11, 12.964995, 12.025042
12, 7, 1, 1,  5, 21.643064, 15.188823
12, 8, 2, 8,  11, 12.819032, 12.686260
12, 9, 1, 1,  12, 19.230905, 15.202549
13, 0, 1, 1,  9, 49.314014, 42.367703
13, 1, 1, 2,  9, 40.138619, 39.997624
13, 2, 2, 6,  10, 51.390834, 43.916548
13, 3, 2, 6,  10, 36.635365, 35.128890
