# BENCHMARK: 10-Nov-24-10
10, 0, 0, 21,  0.050047
10, 1, 1, 36,  0.055791
10, 2, 1, 22,  0.037751
10, 3, 2, 25,  0.034521
10, 4, 1, 23,  0.058063
10, 5, 0, 10,  0.035059
10, 6, 1, 17,  0.069813
10, 7, 1, 19,  0.065108
10, 8, 2, 7,  0.093552
10, 9, 1, 21,  0.088961
20, 0, 1, 23,  0.098503
20, 1, 1, 43,  0.066961
20, 2, 1, 35,  0.083453
20, 3, 1, 34,  0.037110
20, 4, 2, 37,  0.057020
20, 5, 1, 32,  0.057115
20, 6, 0, 32,  0.038717
20, 7, 2, 40,  0.053461
20, 8, 0, 42,  0.042747
20, 9, 1, 36,  0.050517
30, 0, 1, 47,  0.052521
30, 1, 1, 53,  0.069010
30, 2, 1, 57,  0.048177
30, 3, 2, 56,  0.060386
30, 4, 1, 50,  0.049857
30, 5, 1, 63,  0.052091
30, 6, 1, 48,  0.056595
30, 7, 0, 57,  0.044594
30, 8, 1, 37,  0.048971
30, 9, 2, 78,  0.090144
40, 0, 2, 69,  0.088941
40, 1, 0, 89,  0.050823
40, 2, 1, 75,  0.058407
40, 3, 0, 102,  0.056902
40, 4, 0, 68,  0.040122
40, 5, 1, 80,  0.061299
40, 6, 1, 94,  0.065743
40, 7, 1, 78,  0.061797
40, 8, 1, 68,  0.048726
40, 9, 1, 86,  0.072869
50, 0, 2, 83,  0.071335
50, 1, 1, 95,  0.065916
50, 2, 2, 105,  0.075889
50, 3, 1, 99,  0.072360
50, 4, 1, 75,  0.065568
50, 5, 2, 92,  0.088737
50, 6, 1, 92,  0.089242
50, 7, 0, 93,  0.053845
50, 8, 0, 89,  0.050884
50, 9, 2, 93,  0.080157
60, 0, 1, 125,  0.150820
60, 1, 1, 94,  0.088946
60, 2, 1, 103,  0.100126
60, 3, 0, 106,  0.048929
60, 4, 1, 88,  0.103337
60, 5, 1, 111,  0.071717
60, 6, 0, 135,  0.070107
60, 7, 1, 109,  0.084769
60, 8, 1, 98,  0.055618
60, 9, 1, 122,  0.094863
70, 0, 2, 142,  0.181538
70, 1, 0, 157,  0.114621
70, 2, 1, 153,  0.216153
70, 3, 1, 139,  0.111531
70, 4, 1, 158,  0.098978
70, 5, 0, 133,  0.122862
70, 6, 1, 117,  0.172548
70, 7, 1, 120,  0.107373
70, 8, 1, 156,  0.082748
70, 9, 0, 150,  0.045981
80, 0, 1, 154,  0.170669
80, 1, 1, 147,  0.102473
80, 2, 1, 130,  0.096021
80, 3, 1, 164,  0.112401
80, 4, 1, 163,  0.112730
80, 5, 1, 117,  0.160134
80, 6, 1, 123,  0.117186
80, 7, 1, 140,  0.112679
80, 8, 1, 151,  0.134086
80, 9, 0, 128,  0.078568
90, 0, 2, 171,  0.216312
90, 1, 0, 174,  0.107997
90, 2, 2, 180,  0.150584
90, 3, 2, 163,  0.136931
90, 4, 1, 154,  0.089535
90, 5, 1, 157,  0.078134
90, 6, 1, 183,  0.089890
90, 7, 2, 200,  0.155075
90, 8, 2, 201,  0.102689
90, 9, 1, 164,  0.086678
100, 0, 1, 228,  0.133406
100, 1, 1, 170,  0.114098
100, 2, 0, 186,  0.059208
100, 3, 2, 195,  0.133210
100, 4, 1, 172,  0.136735
100, 5, 1, 167,  0.082577
100, 6, 1, 213,  0.093845
100, 7, 0, 174,  0.064709
100, 8, 1, 207,  0.107562
100, 9, 1, 175,  0.085193
110, 0, 0, 194,  0.080663
110, 1, 1, 193,  0.179372
110, 2, 2, 224,  0.218675
110, 3, 1, 197,  0.119570
110, 4, 1, 211,  0.092655
110, 5, 1, 197,  0.107328
110, 6, 0, 191,  0.064922
110, 7, 2, 172,  0.129744
110, 8, 1, 208,  0.119894
110, 9, 0, 177,  0.092959
120, 0, 1, 238,  0.144587
120, 1, 1, 227,  0.131353
120, 2, 1, 194,  0.126564
120, 3, 11, 218,  0.412977
120, 4, 2, 228,  0.187109
120, 5, 1, 210,  0.138731
120, 6, 2, 211,  0.138033
120, 7, 1, 254,  0.146813
120, 8, 0, 226,  0.092365
120, 9, 1, 210,  0.140561
130, 0, 1, 264,  0.177993
130, 1, 1, 236,  0.188022
130, 2, 1, 235,  0.174311
130, 3, 1, 227,  0.159527
130, 4, 2, 263,  0.183093
130, 5, 2, 227,  0.171003
130, 6, 1, 256,  0.130543
130, 7, 1, 234,  0.143722
130, 8, 1, 251,  0.159070
130, 9, 2, 237,  0.200887
140, 0, 1, 249,  0.130465
140, 1, 0, 288,  0.099843
140, 2, 2, 326,  0.179857
140, 3, 2, 258,  0.141862
140, 4, 1, 296,  0.139034
140, 5, 0, 265,  0.084961
140, 6, 1, 253,  0.190824
140, 7, 2, 293,  0.184813
140, 8, 0, 288,  0.097117
140, 9, 2, 239,  0.170249
150, 0, 2, 252,  0.206312
150, 1, 1, 313,  0.177625
150, 2, 0, 357,  0.156979
150, 3, 0, 298,  0.110298
150, 4, 1, 290,  0.141521
150, 5, 0, 262,  0.120419
150, 6, 0, 287,  0.102289
150, 7, 0, 265,  0.079214
150, 8, 0, 308,  0.095281
150, 9, 2, 314,  0.381248
160, 0, 1, 358,  0.130355
160, 1, 0, 329,  0.106744
160, 2, 0, 279,  0.170025
160, 3, 0, 323,  0.106375
160, 4, 0, 274,  0.142980
160, 5, 1, 279,  0.224152
160, 6, 1, 308,  0.145543
160, 7, 0, 276,  0.081857
160, 8, 1, 314,  0.155979
160, 9, 0, 320,  0.139904
170, 0, 1, 337,  0.191995
170, 1, 2, 324,  0.450761
170, 2, 2, 378,  0.183151
170, 3, 1, 339,  0.170519
170, 4, 1, 346,  0.135949
170, 5, 0, 331,  0.120961
170, 6, 0, 298,  0.097154
170, 7, 1, 312,  0.185263
170, 8, 2, 363,  0.251346
170, 9, 2, 334,  0.245768
180, 0, 0, 368,  0.107573
180, 1, 0, 337,  0.112829
180, 2, 1, 381,  0.222025
180, 3, 2, 378,  0.254647
180, 4, 1, 344,  0.209090
180, 5, 1, 355,  0.158768
180, 6, 0, 325,  0.121242
180, 7, 4, 381,  0.336907
180, 8, 0, 372,  0.188406
180, 9, 1, 381,  0.220624
190, 0, 1, 347,  0.217913
190, 1, 1, 365,  0.230874
190, 2, 0, 376,  0.132240
190, 3, 1, 357,  0.183339
190, 4, 1, 357,  0.171054
190, 5, 0, 363,  0.123230
190, 6, 2, 395,  0.249326
190, 7, 0, 354,  0.106427
190, 8, 2, 335,  0.299435
190, 9, 0, 370,  0.114052
200, 0, 8, 415,  0.594299
200, 1, 4, 404,  0.544252
200, 2, 0, 336,  0.145545
200, 3, 2, 363,  0.344005
200, 4, 6, 327,  0.669340
200, 5, 3, 377,  0.327171
200, 6, 1, 379,  0.227228
200, 7, 2, 355,  0.313705
200, 8, 0, 420,  0.160707
200, 9, 1, 385,  0.150534
210, 0, 0, 391,  0.130688
210, 1, 0, 431,  0.147775
210, 2, 0, 407,  0.183073
210, 3, 4, 417,  0.422116
210, 4, 1, 358,  0.257298
210, 5, 1, 373,  0.229092
210, 6, 0, 374,  0.160988
210, 7, 1, 393,  0.240799
210, 8, 1, 422,  0.243892
210, 9, 0, 424,  0.136547
220, 0, 0, 426,  0.124001
220, 1, 3, 412,  0.298857
220, 2, 0, 371,  0.120988
220, 3, 0, 461,  0.114176
220, 4, 1, 400,  0.172785
220, 5, 2, 417,  0.254112
220, 6, 0, 430,  0.131866
220, 7, 1, 443,  0.192583
220, 8, 1, 472,  0.189604
220, 9, 1, 402,  0.170137
230, 0, 0, 464,  0.114509
230, 1, 4, 405,  0.398620
230, 2, 2, 499,  0.277548
230, 3, 1, 469,  0.221991
230, 4, 0, 461,  0.172726
230, 5, 0, 438,  0.122643
230, 6, 1, 409,  0.218668
230, 7, 0, 464,  0.143818
230, 8, 4, 445,  0.436471
230, 9, 0, 420,  0.125221
240, 0, 2, 489,  0.285563
240, 1, 2, 463,  0.367871
240, 2, 0, 404,  0.134491
240, 3, 0, 486,  0.121762
240, 4, 8, 426,  0.691717
240, 5, 0, 471,  0.141329
240, 6, 0, 425,  0.141610
240, 7, 1, 450,  0.231081
240, 8, 0, 514,  0.118695
240, 9, 0, 433,  0.200501
250, 0, 0, 463,  0.123624
250, 1, 0, 496,  0.113301
250, 2, 2, 516,  0.285379
250, 3, 4, 449,  0.432983
250, 4, 0, 468,  0.111052
250, 5, 2, 512,  0.285765
250, 6, 0, 413,  0.121938
