# BENCHMARK EQUILIBRIA: 26-Nov-24 00
2, 0, 1, 1,  1, 0.000000, 0.001007
2, 1, 1, 1,  1, 0.000000, 0.000000
2, 2, 1, 1,  1, 0.000000, 0.000000
2, 3, 2, 3,  2, 0.000998, 0.001002
2, 4, 1, 1,  0, 0.000998, 0.000000
2, 5, 1, 1,  1, 0.000999, 0.001010
2, 6, 1, 1,  0, 0.000000, 0.000000
2, 7, 1, 1,  0, 0.000000, 0.000000
2, 8, 1, 1,  1, 0.000994, 0.000000
2, 9, 1, 1,  0, 0.000000, 0.000998
3, 0, 1, 1,  1, 0.002005, 0.001995
3, 1, 2, 4,  0, 0.002000, 0.004004
3, 2, 1, 1,  1, 0.000998, 0.002996
3, 3, 1, 1,  1, 0.002003, 0.001998
3, 4, 2, 4,  2, 0.004034, 0.004979
3, 5, 1, 1,  2, 0.004009, 0.001995
3, 6, 1, 1,  0, 0.001000, 0.001000
3, 7, 1, 1,  0, 0.003008, 0.002987
3, 8, 2, 3,  1, 0.004047, 0.002948
3, 9, 1, 1,  2, 0.005022, 0.001975
4, 0, 1, 1,  1, 0.006001, 0.005002
4, 1, 1, 1,  3, 0.011987, 0.013991
4, 2, 2, 3,  4, 0.007004, 0.005998
4, 3, 2, 3,  1, 0.012997, 0.010012
4, 4, 1, 1,  1, 0.004997, 0.004000
4, 5, 1, 1,  0, 0.008003, 0.003998
4, 6, 1, 1,  3, 0.005005, 0.006994
4, 7, 1, 1,  0, 0.003000, 0.006002
4, 8, 2, 3,  2, 0.006999, 0.006003
4, 9, 2, 3,  3, 0.006995, 0.006971
5, 0, 2, 4,  4, 0.027033, 0.017004
5, 1, 2, 3,  3, 0.025998, 0.037968
5, 2, 2, 2,  6, 0.036998, 0.035998
5, 3, 2, 3,  1, 0.029991, 0.030006
5, 4, 2, 3,  1, 0.035990, 0.039003
5, 5, 1, 1,  5, 0.042997, 0.039001
5, 6, 1, 1,  3, 0.052989, 0.051000
5, 7, 1, 1,  3, 0.061003, 0.064001
5, 8, 2, 4,  2, 0.065003, 0.051996
5, 9, 1, 1,  4, 0.049008, 0.032000
6, 0, 1, 1,  5, 0.134994, 0.114999
6, 1, 1, 1,  4, 0.112003, 0.096999
6, 2, 1, 1,  9, 0.097001, 0.089038
6, 3, 1, 1,  7, 0.085971, 0.069030
6, 4, 2, 2,  6, 0.077996, 0.058968
6, 5, 1, 1,  7, 0.075998, 0.069097
