# BENCHMARK CONTROLLABILITY - POSSIBILITY: 20-Dec-24 16
10, 0, 0, 9, 1.034811
10, 1, 0, 9, 0.783361
10, 2, 3, 17, 0.982402
10, 3, 0, 19, 0.316617
10, 4, 0, 16, 0.334650
10, 5, 3, 16, 0.520327
10, 6, 0, 19, 0.256010
10, 7, 6, 16, 1.003283
10, 8, 2, 29, 2.210303
10, 9, 3, 15, 0.785159
20, 0, 13, 50, 3.097680
20, 1, 0, 37, 0.678883
20, 2, 11, 36, 1.901766
20, 3, 29, 40, 6.792361
20, 4, 20, 29, 4.075251
20, 5, 14, 29, 2.472319
20, 6, 9, 43, 1.843696
20, 7, 0, 62, 0.735410
20, 8, 13, 57, 2.409445
20, 9, 5, 32, 1.377522
30, 0, 16, 49, 5.118625
30, 1, 94, 77, 75.285985
30, 2, 12, 50, 5.681170
30, 3, 100, 55, 77.133369
30, 4, 23, 68, 9.424044
30, 5, 100, 57, 99.311152
30, 6, 0, 71, 1.121927
30, 7, 0, 79, 0.931643
30, 8, 0, 62, 1.002806
30, 9, 100, 77, 153.723168
40, 0, 22, 70, 8.325035
40, 1, 0, 73, 1.373027
40, 2, 100, 90, 131.019916
40, 3, 5, 74, 2.938999
40, 4, 0, 78, 1.776693
40, 5, 100, 83, 69.933034
40, 6, 0, 74, 1.921997
40, 7, 11, 70, 4.799996
40, 8, 0, 72, 1.848282
40, 9, 54, 69, 23.389309
50, 0, 5, 122, 4.155867
50, 1, 100, 99, 104.388138
50, 2, 5, 91, 3.383393
50, 3, 4, 84, 2.592452
50, 4, 100, 108, 190.792186
50, 5, 0, 110, 2.792376
50, 6, 5, 103, 4.063514
50, 7, 0, 103, 3.126322
50, 8, 1, 102, 2.937053
50, 9, 100, 126, 165.516649
60, 0, 0, 107, 3.756997
60, 1, 100, 126, 145.856443
60, 2, 100, 102, 79.927684
60, 3, 0, 95, 3.921919
60, 4, 100, 110, 100.203313
60, 5, 100, 132, 63.152056
60, 6, 0, 99, 2.758341
60, 7, 0, 127, 3.083681
60, 8, 3, 127, 4.015109
60, 9, 100, 115, 70.999998
70, 0, 1, 128, 10.978363
70, 1, 100, 153, 92.016765
70, 2, 100, 163, 143.312586
70, 3, 33, 119, 26.677523
70, 4, 88, 135, 101.982299
70, 5, 2, 159, 7.401431
70, 6, 13, 97, 10.250333
70, 7, 0, 155, 6.270913
70, 8, 58, 136, 79.147137
70, 9, 0, 109, 4.907787
